season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,0,1,0,6,0,2,-0.826096507100084,-0.679480780282526,1.249315927336729,-0.3876262839697891,985
1,0,1,0,0,0,2,-0.7206013149939535,-0.7401455355199024,0.4787851597755503,0.7490888183309068,801
1,0,1,0,1,1,1,-1.6335381661991657,-1.7485697604014525,-1.338357606936484,0.7461209948542499,1349
1,0,1,0,2,1,1,-1.6136748489966444,-1.6091684611168604,-0.2630014807796738,-0.3895618210197831,1562
1,0,1,0,3,1,1,-1.4664098759965432,-1.503940945153829,-1.3405762547464208,-0.04627496983288128,1600
1,0,1,0,4,1,1,-1.5899219053232223,-1.479769544093741,-0.7697378321543076,-1.302242380857796,1606
1,0,1,0,5,1,2,-1.6326750187519714,-1.6293143635490177,-0.9071044283613167,-0.2807846388101312,1510
1,0,1,0,6,0,2,-1.8048783974257554,-1.9151799940095857,-0.6463641634321213,0.984772713118486,959
1,0,1,0,0,0,1,-1.9505591124531583,-2.1979405904675127,-1.3601649490176986,2.212496767509891,822
1,0,1,0,1,1,1,-1.8822721308713328,-1.9849266668831462,-1.0178893770733233,0.42298953614795065,1321
1,0,1,0,2,1,2,-1.7825294340936553,-1.7359348493116529,0.41051961339575255,-0.8820140608595407,1263
1,0,1,0,3,1,1,-1.762666116891134,-1.9261089773271833,-0.19903983030965847,1.472824832064591,1162
1,0,1,0,4,1,1,-1.8048783974257554,-1.9849573490373227,-1.1056523442385475,1.426023546195741,1406
1,0,1,0,5,1,1,-1.8274404161403903,-1.7546570997900302,-0.6323712359472977,-0.8250318501077231,1421
1,0,1,0,6,0,2,-1.431578052431286,-1.3883183153558676,-0.9067252923431629,-0.4196658739373531,1248
1,0,1,0,0,0,1,-1.4406793413365115,-1.4735840218117995,-1.0120408529414324,-0.02649378118194485,1204
1,0,1,1,1,0,2,-1.7456981677076824,-1.8260974275741222,-0.6346600941309671,0.04555981139915801,1000
1,0,1,0,2,1,2,-1.5226237192347019,-1.4851450575054288,1.6413285280329803,-0.5640311307062249,683
1,0,1,0,3,1,2,-1.1101321097707915,-1.0795944800339574,0.799309557937697,0.23008101016523436,1650
1,0,1,0,4,1,2,-1.276790585540131,-1.3457437582208365,-0.6288115699990767,0.06990886748808009,1927
1,0,1,0,5,1,1,-1.73659141584393,-1.9423091547322684,-1.199270856573036,2.100132389967584,1543
1,0,1,0,6,0,1,-2.3832396314477724,-2.425635311182154,-1.6000527329484369,-0.2389254242089315,981
1,0,1,0,0,0,1,-2.1789725102941317,-2.3043211417844893,-1.3436304060037703,0.7240687760646539,986
1,0,1,0,1,1,1,-2.174221921559447,-2.187171154351632,-0.955949785366794,-0.4149302599550352,1416
1,0,1,0,2,1,2,-1.4854155087103968,-1.4716878646837044,-0.0767895275671874,-0.7831210211851904,1985
1,0,1,0,3,1,3,-1.5180730747820892,-1.6614631246949425,1.6471770521648714,1.3337629468127028,506
1,0,1,0,4,1,1,-1.6409896416293746,-1.562666588247263,0.41849551185172756,-0.9890492597241982,431
1,0,1,0,5,1,2,-1.5946746792413173,-1.5404711179161292,1.1595168593332714,-0.8669426790302555,1167
1,0,1,0,6,0,1,-1.6326750187519714,-1.609143915393519,0.16741619434808044,-0.5822251789761662,1098
1,0,1,0,0,0,1,-1.5234158482210511,-1.3747568032099438,0.6619429617306871,-1.5033137117593527,1096
1,0,1,0,1,1,2,-1.7183833750749522,-1.7679301996866965,-0.16951636815527682,-0.042507124375560174,1501
1,0,2,0,2,1,2,-1.6564279624253935,-1.4716633189603632,1.4159391862779376,-1.771315913849695,1360
1,0,2,0,3,1,2,-1.2858973374038831,-1.3496281189395558,1.0357640545929314,0.9525653766065891,1526
1,0,2,0,4,1,1,-1.6849282170583844,-1.8193043986394901,-1.334474973269094,1.1260411106073676,1550
1,0,2,0,5,1,2,-1.5519215658125682,-1.5081321274143111,-0.2996372537931255,-0.8083733278974429,1708
1,0,2,0,6,0,2,-1.431578052431286,-1.4193318367972696,2.115248550725193,-0.3794583176188153,1005
1,0,2,0,0,0,1,-1.1447727297876196,-1.1210215246027948,-0.4181804488025377,-0.6282264428643526,1623
1,0,2,0,1,1,1,-1.2221610002746706,-1.0474641281805381,0.7753959046445164,-1.8720244872769394,1712
1,0,2,0,2,1,1,-1.4998650340131112,-1.6943175753869222,-0.6317323215463352,2.212496767509891,1530
1,0,2,0,3,1,2,-1.9699526152223965,-2.025457792550036,-0.934577747602719,-0.021254927566628053,1605
1,0,2,0,4,1,1,-1.9176994169159838,-1.9931494842023942,-1.3375291245264442,0.4058019671440053,1538
1,0,2,0,5,1,1,-1.673270263562735,-1.6006572315483552,-0.8532671137834812,-1.0572704889463134,1746
1,0,2,0,6,0,1,-1.490758282149359,-1.4813343339567324,-0.5878508379637232,0.16620828751543895,1472
1,0,2,0,0,0,1,-0.9771199955664489,-0.9219434354453031,-1.197108377062085,0.9083706139650637,1589
1,0,2,0,1,1,1,-0.43913876578924954,-0.4663932195281365,-1.7697301431469956,2.9345553158002473,1913
1,0,2,0,2,1,1,-1.2526443088527976,-1.3505056285489978,-2.201418626039302,1.3018136819074713,1815
1,0,2,0,3,1,1,-0.9676199106887852,-0.9705010126447123,-1.4352128175000258,0.7910512615747726,2115
1,0,2,0,4,1,1,-0.32532895080571633,-0.2804102737730887,-0.8628438087605508,0.5112113148866682,2475
1,0,2,0,5,1,1,0.14357863136183516,0.23090782557491699,-0.7809293657272169,0.9605268856722308,2927
1,0,2,0,6,0,1,-0.5256337881400527,-0.5090168681098497,-3.0890954021726222,4.090135452548217,1635
1,0,2,0,0,0,1,-1.148137912239972,-1.2090240792112525,-1.545106094465633,0.4225766215772849,1812
1,0,2,1,1,0,2,-1.0491709555730642,-1.1676338532274266,-0.16074007143875457,1.5143614571574584,1107
1,0,2,0,2,1,1,-1.7107953256815798,-1.7692618051779478,-0.35186675081249374,0.06705717623442256,1450
1,0,2,0,3,1,1,-1.4949155935880607,-1.4030150672063142,-1.4382669687573755,-1.2435594782180504,1917
1,0,2,0,4,1,2,-1.0911319400154642,-1.1362398730742387,0.4879405925102263,0.7743411250431594,1807
1,0,2,0,5,1,2,-0.7158485410758586,-0.760260755797883,0.5917325879985074,2.0136396909935272,1461
1,0,2,0,6,0,1,-1.1629807705565978,-1.1791887524902205,-0.6317323215463352,-0.05052024776253431,1969
1,0,2,0,0,0,1,-0.8298604855248741,-0.756284348616635,0.3658377315525932,-0.8418065045410026,2402
1,0,2,0,1,1,2,-0.4813510463238706,-0.4555440098113976,1.7445167143071645,1.2800324383048747,1446
1,0,3,0,2,1,1,-1.2494757929074007,-1.2915652103763295,-0.6522126875640116,0.3347032395075663,1851
1,0,3,0,3,1,1,-0.8761754479129312,-0.9467468888814223,-1.2519286368721707,1.5141937106131251,2134
1,0,3,0,4,1,1,-1.6227816008603968,-1.6827381304007876,-2.1734397921070285,0.4550807404368479,1685
1,0,3,0,5,1,2,-1.276790585540131,-1.3418839432254581,-0.12270711198803282,0.16593731232843956,1944
1,0,3,0,6,0,2,-0.6075781660382431,-0.586489307405002,1.1323033184746778,0.7920835480014362,2077
1,0,3,0,0,0,2,-0.6493424839736875,-0.6633603764782988,2.249308238329417,1.9716772477496618,605
1,0,3,0,1,1,1,-1.2763972525262195,-1.4475410093469578,-0.5377416942310661,1.9467088198047415,1872
1,0,3,0,2,1,1,-1.1083511852911374,-1.0551837581712946,-1.453783461352187,-0.9011371669134796,2133
1,0,3,0,3,1,2,-1.0901431445221594,-1.1520902739217143,1.0357640545929314,0.38276907624907924,1891
1,0,3,0,4,1,3,-0.5806785582535305,-0.5442154353808986,-4.408467682235623,0.9211967728163559,623
1,0,3,0,5,1,2,-0.9771199955664489,-1.0392290379996196,0.15215245909870373,0.5481929761218829,1977
1,0,3,0,6,0,1,-0.9080408849982744,-0.9118980981679832,-0.23387821775556616,0.39083381395738664,2132
1,0,3,0,0,0,1,-0.606589370544938,-0.5784383101491413,-0.7056357609368278,1.0338063183849961,2417
1,0,3,0,1,1,1,-0.9296195711781309,-0.8735454054476105,-0.919314012353343,-0.6911184934088183,2046
1,0,3,0,2,1,2,-0.9723726846068803,-0.9583631524525685,0.19488951358948192,-0.0797081464764411,2056
1,0,3,0,3,1,2,-0.71110123011629,-0.6591998763719927,1.0435223008903374,0.16298239243211593,2192
1,0,3,0,4,1,1,-0.43913876578924954,-0.39286036882922065,-0.1753648922871672,0.24636532854584872,2744
1,0,3,0,5,1,1,0.24373105002900364,0.32311383530552823,-0.7208994961862029,0.5229922837309637,3239
1,0,3,0,6,0,1,-0.12501865051285324,-0.04804204733431336,-1.7463220045446866,2.292718326441968,3117
1,0,3,0,0,0,1,-0.8898328442292963,-0.9118980981679832,-1.0822512266736122,0.22239047628659248,2471
2,0,3,0,1,1,2,-0.35481800093201155,-0.3965299544687058,0.768782087438945,1.2683805052639123,2077
2,0,3,0,2,1,1,-0.2934580507618465,-0.2068712866433374,-0.023247096559027066,0.45502912611551466,2703
2,0,3,0,3,1,2,-0.8108548528110204,-0.8371011427170039,1.486149560010117,0.5648514983321635,2121
2,0,3,0,4,1,2,-1.1493233742402327,-1.2488924703479343,1.249315927336729,0.6877710045871028,1865
2,0,3,0,5,1,1,-1.2631331892237658,-1.337999582506739,-0.9330541824927304,0.5192244382736426,2210
2,0,3,0,6,0,1,-1.2540319003185403,-1.330273816085147,-1.6410064439464174,0.24626209990318265,2496
2,0,3,0,0,0,2,-1.3239031398730639,-1.3746524838857446,-0.9406860501174185,-0.07982427869944084,1693
2,0,3,0,1,1,1,-1.2621443937304608,-1.3302554067926413,-2.2868927350208574,0.28023722692074055,2028
2,0,3,0,2,1,1,-1.053721600025677,-1.1134307596595787,-2.202689433803854,0.47110698721079647,2425
2,0,3,0,3,1,2,-1.0673789963420421,-1.0861727338893554,0.1318054927911184,-0.2270799374629694,1536
2,0,3,0,4,1,3,-1.2403745040021752,-1.3302492703618058,2.0391826318237496,0.3504585110945159,1685
2,0,4,0,5,1,2,-1.0673789963420421,-1.171444576776123,0.40971921513520526,0.8803053267401537,2227
2,0,4,0,6,0,2,-0.9854346184438518,-0.9739558232049633,0.18153550050562164,0.08593511426202909,2252
2,0,4,0,0,0,1,-0.6394490660821126,-0.5865629445750249,-1.038369743091,-0.10675405085502106,3249
2,0,4,0,1,1,1,0.42582784659436196,0.4208058142028606,-1.4157505019014653,2.5172922385625824,3115
2,0,4,0,2,1,2,-0.44368941024186226,-0.4663932195281365,0.09962105747228701,2.5494995750744796,1795
2,0,4,0,3,1,1,-0.5711620845002873,-0.5323107595604949,-1.1027315926912888,0.9365004190916405,2808
2,0,4,0,4,1,1,-0.31622219894196396,-0.2494949352250506,-0.1753648922871672,-0.36354820306786645,3141
2,0,4,0,5,1,2,-0.8716248034603186,-0.9196975017595979,1.4628748211179,0.47105537288946325,1471
2,0,4,0,6,0,2,-0.835203258963836,-0.8150713560184221,1.7524926127631402,-0.7407069526296597,2455
2,0,4,0,0,0,2,-0.3754024286600369,-0.2921983574076224,1.6120718652987815,-0.564134359348891,2895
2,0,4,0,1,1,2,0.5477556179483432,0.5575745846591263,0.6253071887172361,1.7289221909394383,3348
2,0,4,0,2,1,2,0.03887010528352729,0.11475132629428826,0.7812514498137803,1.0889691243098192,2034
2,0,4,0,3,1,2,-0.45279616210561463,-0.3502121745241664,1.342934439671217,0.7759024582634882,2162
2,0,4,0,4,1,1,-0.1523334431455831,-0.07125616518410063,-0.6141797281132899,-1.0295277912297351,3267
2,0,4,1,5,0,1,-0.26614325812911666,-0.19907188305172266,0.30440365453693574,0.463093863823822,3126
2,0,4,0,6,0,3,-0.35264374343844646,-0.29983821379752057,1.828551510627211,1.9396892721034307,795
2,0,4,0,0,0,1,-0.21151367286365635,-0.17585776520193572,-1.041297515675632,1.4582308827076378,3744
2,0,4,0,1,1,1,0.09349969054898757,0.17668018628372803,-0.5995549072648773,-0.3473542097495845,3429
2,0,4,0,2,1,2,0.05707814605250535,0.0914574348436427,0.26637069508621397,-0.419562645294687,3204
2,0,4,0,3,1,1,0.5441937689890346,0.5525120292200374,-0.09637822183846524,0.6637445380065135,3944
2,0,4,0,4,1,1,-0.1978562765472913,-0.12556357807614785,-1.5503227252339342,1.7390385979207392,4189
2,0,4,0,5,1,2,-0.8670686960491791,-0.9351919896186284,0.713961827628859,0.37465272421943835,1683
2,0,4,0,6,0,2,-0.1933056320946783,-0.14870405875591194,1.8256307590799519,0.5192244382736426,4036
2,0,4,0,0,0,2,0.4713561429545968,0.4750150442015439,1.2844211142028188,0.021791416425234286,4191
2,0,4,0,1,1,1,0.6079301061182469,0.6145390721028414,1.0445403513094538,-0.06649488021515008,4073
2,0,4,0,2,1,1,0.7445040692818976,0.7347087971497301,0.7110410760816005,1.7550648446946884,4400
2,0,4,0,3,1,2,0.6807677321526853,0.6184786606990782,1.4570262969860088,1.5705436459286115,3872
2,0,4,0,4,1,2,0.6671103358363205,0.6417173242722062,0.5121070031488429,1.6829080234709186,4058
2,0,4,0,5,1,1,0.0798422942326228,0.1418068498469478,-1.199270856573036,0.6397180714259236,4595
2,0,4,0,6,0,1,-0.12501865051285324,-0.06340767014580342,-0.874547878061705,0.575355012723463,5312
2,0,5,0,0,0,2,-0.2388284654963865,-0.16046759666710458,0.9421455422584426,-1.0856067513582226,3351
2,0,5,0,1,1,2,0.2938099908418506,0.35885240849007977,0.7168896002134909,-0.09074070766140573,4401
2,0,5,0,2,1,2,0.6625596913837072,0.6610470814032738,0.48577811299927537,1.9636770279430207,4451
2,0,5,0,3,1,2,-0.44368941024186226,-0.4277337052660009,0.7666196079279941,1.7872721812065853,2633
2,0,5,0,4,1,1,-0.1978562765472913,-0.1990473373283816,-1.2899545752855188,1.353660267686639,4433
2,0,5,0,5,1,1,-0.08859710601637073,-0.001454264433022584,-0.2660556320370241,0.48723646262741155,4608
2,0,5,0,6,0,1,0.1344718794980831,0.23482286844781278,-0.6083312039813995,-0.3875746696484559,4714
2,0,5,0,0,0,1,0.1799947128997907,0.27355601987997125,0.026489932192848842,-1.4948631569990798,4333
2,0,5,0,1,1,1,0.20275886107990812,0.31229530774296516,-0.2748319287535464,-0.1869239954657645,4362
2,0,5,0,2,1,1,0.20275886107990812,0.29680081988393464,-0.9740078934907107,-0.9653840933929404,4803
2,0,5,0,3,1,1,0.2573884463453684,0.33164961059737386,0.03526622890937111,-0.9012403955561457,4182
2,0,5,0,4,1,1,0.21641625739627351,0.30074040848017153,0.8397577542448057,-0.010570763050662298,4864
2,0,5,0,5,1,2,0.09349969054898757,0.12239731911502187,1.6530255762967618,-0.1388581587242519,4105
2,0,5,0,6,0,2,0.13902252395069578,0.16123478987137968,2.068439294557949,-0.7166159681474034,3409
2,0,5,0,0,0,2,0.366647616876289,0.3782864849453471,1.6793544664463294,-0.48397731831848084,4553
2,0,5,0,1,1,1,0.4485919947744794,0.46733836922663413,1.1235270217581557,-0.8208639936600695,3958
2,0,5,0,2,1,2,0.3620969724236763,0.3938055185277186,1.4745788904190542,1.1209054856347171,4123
2,0,5,0,3,1,2,0.29836063529446394,0.32402816349998165,1.6998348324640058,0.14201407439051617,3855
2,0,5,0,4,1,2,0.19365210921615605,0.22329251490836022,1.4160655649506553,-1.0616189955186324,4575
2,0,5,0,5,1,1,0.22552300926002558,0.3355891991936107,0.6437514538966793,-0.8448388459193261,4917
2,0,5,0,6,0,1,0.5851659579381301,0.5990445842438109,-0.008615254673241007,-0.9011371669134796,5805
2,0,5,0,0,0,1,0.5942727098018822,0.6145390721028414,0.8543825750932184,-0.5481210161552756,4660
2,0,5,0,1,1,2,0.7445040692818976,0.7114701335766022,1.2785725900709284,0.5594448981725137,4274
2,0,5,0,2,1,2,0.8992860732145265,0.8005527000120657,0.792948498077561,0.21427412425695155,4492
2,0,5,0,3,1,1,0.9038367176671391,0.8663904664435659,0.47992958886738496,-0.46779622858053294,4978
2,0,5,0,4,1,1,1.1633272476780752,1.106607187920638,0.34828513811954787,0.118142450773926,4677
2,0,5,0,5,1,1,1.0176519956091992,0.9981150907532482,0.18153550050562164,0.6476666769112316,4679
2,0,5,0,6,0,1,0.876521925034409,0.8469809357116396,0.713961827628859,0.5110564719226689,4758
2,0,5,0,0,0,1,0.9402582621636213,0.866439557890248,1.3400066670865851,0.30261203521866914,4788
2,0,5,1,1,0,1,1.2999012108417258,1.2072691993422362,0.400942918418683,-0.7646818048889159,4098
2,0,5,0,2,1,1,1.527526303767319,1.540422165819315,0.06159511905893869,-1.0214114392000946,3982
2,0,6,0,3,1,2,1.468346074049246,1.5133236872508087,0.34535736553491597,0.21427412425695155,3974
2,0,6,0,4,1,1,1.1997487921745573,1.0406651021649382,-2.2670512834041436,1.3135946507517668,4968
2,0,6,0,5,1,1,0.6807677321526853,0.6920606028446759,-1.9218479388751357,0.8082130234180509,5312
2,0,6,0,6,0,1,0.7627121100508757,0.7384704292517441,-1.2051193807049265,-0.8689814447229156,5342
2,0,6,0,0,0,2,0.835549736085314,0.8741346421576633,0.17275920378909862,-0.6683307705402243,4906
2,0,6,0,1,1,1,0.9994384918816943,0.9051481635990654,-0.19584525830484442,-0.8850593058181975,4548
2,0,6,0,2,1,1,1.1587766032254625,1.1143513636347355,-0.21047007915325705,-0.0345585188902522,4833
2,0,6,0,3,1,1,1.5320769482199317,1.5520568386829672,-0.04079968999207238,-0.692524983665147,4401
2,0,6,0,4,1,2,1.7096231003326774,1.7379906929913327,-0.4181804488025377,-0.5239268030303532,3915
2,0,6,0,5,1,1,1.4182671332363985,1.4048622722375952,-0.16074007143875457,-0.6443043039596348,4586
2,0,6,0,6,0,1,1.2543783774400177,1.2498928479239495,0.18738402463751203,-0.45983471951489163,4966
2,0,6,0,0,0,1,1.076832225327272,1.0368789243395833,0.8426855268294376,-0.3473542097495845,4460
2,0,6,0,1,1,1,0.7627121100508757,0.7811677150034805,-0.9359819550773624,1.4821541206455615,5020
2,0,6,0,2,1,1,0.5942727098018822,0.7191406721206764,-0.8482189879121381,1.0167606887647171,4891
2,0,6,0,3,1,1,0.7171892766491675,0.695871326393372,-1.0968760475220252,-0.2912881532014311,5180
2,0,6,0,4,1,2,0.7262905655543935,0.7424591092946631,0.4243440359836179,0.20626100086997742,3767
2,0,6,0,5,1,1,0.8401058434964535,0.7733683114118655,0.7578433112114711,-0.6123679426347369,4844
2,0,6,0,6,0,1,1.0995963735073895,1.0407387393349614,0.2985551304050454,-0.9171634136874284,5119
2,0,6,0,0,0,2,1.1132537698237543,1.0523488664752725,0.27222624025547776,-1.1417889401293762,4744
2,0,6,0,1,1,2,0.7627121100508757,0.7424591092946631,0.8309814575282827,-0.4517699818065839,4010
3,0,6,0,2,1,2,1.0130958881980596,1.002030133626144,1.0006588677268415,-0.2511193076238925,4835
3,0,6,0,3,1,1,1.2999012108417258,1.3467932272435337,0.5589162593160869,-0.2351575787516104,4507
3,0,6,0,4,1,2,1.2725864182089957,1.3468177729668749,0.5296595965818874,0.6234724637863087,4790
3,0,6,0,5,1,1,1.249827732987405,1.1182357243534549,-0.3830752619364478,0.40696328937400167,4991
3,0,6,0,6,0,1,1.0904896216436368,1.0368052871695599,-1.0149686255260644,0.24626209990318265,5202
3,0,6,0,0,0,1,1.008545243745447,1.0019258143019443,-0.8043375043295252,-1.2381361034039675,5305
3,0,6,0,1,1,2,1.0222026400618118,0.9980905450299071,0.21371291478707882,-1.06968373322694,4708
3,0,6,0,2,1,1,1.3590869035183255,1.3389938236519188,0.044042525625894155,-0.5961868528967886,4648
3,0,6,0,3,1,1,1.2725864182089957,1.106607187920638,-0.9125738164750536,0.9204741723176922,5225
3,0,6,0,4,1,1,1.0995963735073895,0.9981150907532482,-1.3601649490176986,-0.06676585540214948,5515
3,0,7,0,5,1,1,1.2407209811236528,1.0911065636307722,-1.6263816230980044,-1.1339435632867347,5362
3,0,7,0,6,0,1,1.327216003474456,1.1840489450616138,-1.2870338237382604,-0.9732423738159156,5119
3,0,7,0,0,0,2,1.20885554403831,1.191823802929888,0.3833903249856377,0.4951334537913863,4649
3,0,7,1,1,0,2,1.2634851293037697,1.1724449543521382,0.07037141577546095,-1.4065807314327956,6043
3,0,7,0,2,1,1,1.3727442998346904,1.3621895322092,-0.2631278594523922,-0.8287738884043779,4665
3,0,7,0,3,1,1,1.2270635848072875,1.2964990401177463,0.8105010915106062,-0.5239268030303532,4629
3,0,7,0,4,1,1,1.3909523406036683,1.3040959414917974,0.16398290707257634,-0.40370414506507096,4592
3,0,7,0,5,1,2,1.1678833550892145,1.2035321129635628,0.9128959005616165,0.44701600272854014,4040
3,0,7,0,6,0,1,1.2999012108417258,1.1647191879305463,-0.13148340870455508,-0.2912881532014311,5336
3,0,7,0,0,0,1,1.3772949442873035,1.323450244346206,-0.347970075070358,-0.09052134679573991,4881
3,0,7,0,1,1,1,1.4592393221854933,1.5675513265419976,0.0557395738896749,1.1852040264355117,4086
3,0,7,0,2,1,1,1.6322348298456264,1.6256694629827413,-0.4825352773654536,0.1260394419379004,4258
3,0,7,0,3,1,1,1.3727442998346904,1.31963952079751,0.026489932192848842,-0.5723152292801984,4342
3,0,7,0,4,1,1,1.0130958881980596,0.9864313264429139,-1.0646986332405672,0.6475118339472322,5084
3,0,7,0,5,1,1,0.9174941139835039,0.9205690142880727,-0.25727933532050107,-0.09875383104838023,5538
3,0,7,0,6,0,1,1.0449667882419291,1.005816311451499,-0.30116081890311397,0.2304035996735666,5923
3,0,7,0,0,0,1,1.2225129403546748,1.1995434329206445,-0.16658859557064493,0.7038488656823851,5302
3,0,7,0,1,1,1,1.3727442998346904,1.4087466329563145,0.16398290707257634,0.3266901161205918,4458
3,0,7,0,2,1,1,1.5366330556310712,1.6760127415552108,0.15813438294068596,-0.7727465425972236,4541
3,0,7,0,3,1,1,1.4911047592708369,1.6721529265598327,0.5559884867314551,-0.989307331330864,4332
3,0,7,0,4,1,2,1.7460446448291596,2.1601280430105105,0.44482440200129514,0.40691167505266845,3784
3,0,7,0,5,1,1,1.9281414413945184,2.249259700892656,-0.3333382331845719,-0.7404875917639935,3387
3,0,7,0,6,0,1,1.932697548805658,2.024611104444638,-0.8979489956266407,-0.7647334192102492,3285
3,0,7,0,0,0,1,1.82798902272735,1.9665727416047527,-0.5410486028338517,-0.2750425455618159,3606
3,0,7,0,1,1,1,1.3545307961071862,1.513268459373291,0.9070403553923527,-1.2862019401454805,3840
3,0,7,0,2,1,1,1.509318262998341,1.3661229843746014,-0.6112589765660315,0.1260910562592336,4590
3,0,7,0,3,1,1,1.527526303767319,1.327389832942443,-1.57957236693076,-0.09062457543840599,4656
3,0,7,0,4,1,1,1.5502904519474365,1.6295047322547784,-0.3128648882042681,-0.15493601981953375,4390
3,0,7,0,5,1,1,1.8735118561290582,1.912191691542682,-0.5995549072648773,-0.21095046204635431,3846
3,0,7,0,6,0,1,1.6868644151110865,1.5597764686737234,-1.1378367795573787,-0.28322341549312335,4475
3,0,7,0,0,0,1,1.6959657040163125,1.5675022350953154,-1.0325212189591093,-0.3312763486543026,4302
3,0,8,0,1,1,1,1.509318262998341,1.4048622722375952,-0.5410486028338517,-0.4357437350326353,4266
3,0,8,0,2,1,1,1.5730491371690267,1.428051844364041,-0.9593830726422976,0.1982478774830029,4845
3,0,8,0,3,1,2,1.2907999219364998,1.2615459300801073,0.20786439065518847,-0.7084480017964295,3574
3,0,8,0,4,1,2,1.1724339995418271,1.16858513935676,0.9099681279769847,0.08598672858336194,4576
3,0,8,0,5,1,1,1.1769846439944405,1.1181375414600907,0.020634387023585048,-0.0747144608874571,4866
3,0,8,0,6,0,2,1.20885554403831,1.2383318122303204,0.8924155345439401,0.48728807694874476,4294
3,0,8,0,0,0,1,1.3499801516545735,1.4784994422607105,0.8777907136955275,0.14194955648884966,3785
3,0,8,0,1,1,1,1.4728967185018587,1.4048070443600778,-0.2514308111886107,0.021791416425234286,4326
3,0,8,0,2,1,1,1.527526303767319,1.5326779901052172,-0.4035486069167516,-0.5079521705777374,4602
3,0,8,0,3,1,1,1.4820034703656109,1.2925103600748273,-1.4303753227498783,0.1260910562592336,4780
3,0,8,0,4,1,1,1.2134061884909226,1.0871731114653707,-1.4333030953345103,-0.3314957095199688,4792
3,0,8,0,5,1,1,1.1633272476780752,1.10264305360106,-1.4947371723501677,-0.8369934690766846,4905
3,0,8,0,6,0,2,1.0404106808307898,1.0524225036452959,0.713961827628859,0.2705595416707715,4150
3,0,8,0,0,0,2,0.9903372029764689,0.9206733336122723,1.3312303703700628,0.4148086662166432,3820
3,0,8,0,1,1,1,0.9311515102998692,0.870225735715603,0.5910936735975449,0.23830059083754138,4338
3,0,8,0,2,1,1,1.1223550587289803,1.052293638597755,-0.347970075070358,0.5915361024614109,4725
3,0,8,0,3,1,1,1.2452716255762655,1.1801400386195535,-0.3684434200506618,-0.6041354583820963,4694
3,0,8,0,4,1,1,1.1815407514055798,1.153059969343553,0.18738402463751203,0.5512640282412066,3805
3,0,8,0,5,1,2,1.0358600363781771,0.9748764271801202,0.6671595924989884,-0.6603821650549166,4153
3,0,8,0,6,0,1,1.1041470179600021,1.0716786236063403,0.3248840205546122,-1.1099558074471445,5191
3,0,8,0,0,0,1,1.1769846439944405,1.2344719972349423,0.9977310951422097,0.7518630881025649,3873
3,0,8,0,1,1,1,1.0722815808746593,1.0057610835739814,-1.1085801168231797,1.113111723113409,4758
3,0,8,0,2,1,1,0.7945775471362185,0.8082477842794811,-1.210967904836817,-0.5641859736702242,5895
3,0,8,0,3,1,1,0.9721236992489641,0.9593573935977486,-0.16074007143875457,0.8080452768737183,5130
3,0,8,0,4,1,2,1.0313093919255638,1.0523979579219547,1.009435164443364,0.262546418283797,3542
3,0,8,0,5,1,1,1.117804414276367,1.1375654814845224,0.9362970181265522,-1.3745372703911314,4661
3,0,8,0,6,0,2,1.008545243745447,0.9892049931804512,1.5594140849996465,2.388849999924994,1115
3,0,8,0,0,0,1,1.1563674385152556,1.0653151448301763,-0.46429462226983337,1.4732377466352569,4334
3,0,8,0,1,1,1,0.7718188619146278,0.8198517749889569,-0.5147197126842842,-0.3956394073567636,4634
3,0,8,0,2,1,1,0.7854762582309932,0.7385195206984262,-0.5586011962668971,-0.844903363820993,5204
3,0,8,0,3,1,1,0.8810780324455484,0.8392613057208831,-0.21047007915325705,-1.3826562031368386,5058
3,0,9,0,4,1,1,0.8719712805817963,0.8625797428948697,0.079147712491984,-0.6282780571856857,5115
